Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Ks 9h 7s,7d,3.16654,61.10,527.486,143.878,38.90,71.0137,60.857,46.87,53.13
Ks 9h 7s,8d,6.09616,66.68,550.725,137.651,33.32,47.7745,47.7959,47.26,52.74
Ks 9h 7s,9d,1.61757,58.98,507.946,143.526,41.02,90.5543,73.5933,47.65,52.35
Ks 9h 7s,Td,4.46516,62.73,536.42,142.514,37.27,62.0804,55.5279,51.40,48.60
Ks 9h 7s,Jd,3.81244,63.59,533.074,139.722,36.41,65.426,59.8936,45.90,54.10
Ks 9h 7s,Qd,3.74012,60.57,522.29,143.712,39.43,76.2101,64.4285,46.20,53.80
Ks 9h 7s,Kd,1.64053,51.36,443.835,144.027,48.64,154.665,105.994,49.65,50.35
Ks 9h 7s,Ad,3.70062,64.41,541.845,140.214,35.59,56.6553,53.058,47.82,52.18
Ks 9h 7s,2h,3.98943,61.53,529.09,143.312,38.47,69.4102,60.1439,51.91,48.09
Ks 9h 7s,3h,4.10363,61.51,529.883,143.575,38.49,68.6167,59.4248,53.92,46.08
Ks 9h 7s,4h,3.33142,61.71,529.98,143.145,38.29,68.5196,59.6447,55.96,44.04
Ks 9h 7s,5h,3.90169,65.07,543.109,139.1,34.93,55.391,52.8656,50.91,49.09
Ks 9h 7s,6h,3.59982,69.72,572.461,136.842,30.28,26.0386,28.6668,51.40,48.60
Ks 9h 7s,7h,4.05079,64.11,536.17,139.393,35.89,62.3301,57.8861,49.90,50.10
Ks 9h 7s,8h,7.16596,65.54,537.968,136.81,34.46,60.5316,58.5476,49.68,50.32
Ks 9h 7s,Th,4.43089,63.85,538.764,140.625,36.15,59.7365,55.0873,53.34,46.66
Ks 9h 7s,Jh,4.28396,61.93,520.974,140.2,38.07,77.5259,67.8842,50.38,49.62
Ks 9h 7s,Qh,4.12511,63.67,531.468,139.13,36.33,67.0318,61.4953,49.57,50.43
Ks 9h 7s,Kh,2.86983,52.65,451.634,142.977,47.35,146.866,103.383,58.57,41.43
Ks 9h 7s,Ah,4.38101,64.80,540.37,138.974,35.20,58.1302,55.0546,51.84,48.16
Ks 9h 7s,2s,2.87648,63.13,521.992,137.801,36.87,76.5075,69.1753,45.55,54.45
Ks 9h 7s,3s,2.62515,63.41,523.942,137.708,36.59,74.5583,67.9267,46.31,53.69
Ks 9h 7s,4s,2.17787,64.25,530.64,137.66,35.75,67.8602,63.2642,46.49,53.51
